SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,909,933,908.15,919.25,921,907.7,434,2462,2275243,,INE117A01022,15-Apr-20,,
500003,AEGIS LOGIS ,A ,Q,158.85,170,154,160.9,160.9,155.45,996,11461,1864248,,INE208C01025,15-Apr-20,,
500008,AMAR RAJA BA,A ,Q,522.95,528.05,500,510.75,512,499.15,1257,25785,13261561,,INE885A01032,15-Apr-20,,
500009,A.SARABHAI  ,X ,Q,18,18.5,17.15,18.15,18.5,17.8,128,40252,716504,,INE432A01017,15-Apr-20,,
500010,HDFC        ,A ,Q,1701,1705.95,1584,1594.75,1594.75,1654.45,18047,320635,526455611,,INE001A01036,15-Apr-20,,
500012,ANDHRA PETRO,Z ,Q,19.85,20.75,19.8,20.75,20.75,19.8,180,61566,1275329,,INE714B01016,15-Apr-20,,
500013,ANSAL INFRAS,B ,Q,4.31,4.35,4.09,4.11,4.11,4.17,42,28030,117877,,INE436A01026,15-Apr-20,,
500014,UTIQUE      ,X ,Q,1.1,1.1,1.05,1.05,1.05,1.1,9,5727,6013,,INE096A01010,15-Apr-20,,
500016,ARUNAHTEL   ,XT,Q,6.12,6.12,6.12,6.12,6.12,5.83,3,151,924,,INE957C01019,15-Apr-20,,
500020,BOM DYEING  ,A ,Q,51,52.5,49.6,50.65,50.65,50,1745,111201,5696695,,INE032A01023,15-Apr-20,,
500023,ASIANHOTNR  ,B ,Q,66.15,74.95,66.15,70,70,70,5,403,28344,,INE363A01022,15-Apr-20,,
500027,ATUL LTD.   ,A ,Q,4499.95,4499.95,4199.05,4216.05,4225,4206.65,409,846,3625846,,INE100A01010,15-Apr-20,,
500028,ATV PROJECTS,XT,Q,3.36,3.36,3.2,3.36,3.36,3.2,13,2210,7345,,INE447A01015,15-Apr-20,,
500029,AUTOLITE(I) ,B ,Q,14.65,15.88,14.61,15.74,15.74,15.37,35,502,7482,,INE448A01013,15-Apr-20,,
500031,BAJAJ ELECT.,A ,Q,319.95,325.35,315.25,316.7,316.7,314.25,535,4871,1560013,,INE193E01025,15-Apr-20,,
500032,BAJAJHIND   ,B ,Q,3.78,3.78,3.65,3.78,3.78,3.6,573,989148,3729544,,INE306A01021,15-Apr-20,,
500033,FORCE MOTR  ,A ,Q,773.25,815,773.25,787.5,787.5,785.35,1098,4666,3728772,,INE451A01017,15-Apr-20,,
500034,BAJFINANCE  ,A ,Q,2337,2366.75,2169,2182.55,2182.55,2288.5,33199,397985,905662547,,INE296A01024,15-Apr-20,,
500038,BALRAM.CHINI,A ,Q,114,116.05,111.05,111.05,111.05,116.85,4225,68663,7714355,,INE119A01028,15-Apr-20,,
500039,BANCO PROD. ,B ,Q,66.95,69.2,66,67.2,67.2,65.95,400,8515,574637,,INE213C01025,15-Apr-20,,
500040,CENTURY TEXT,A ,Q,327.15,345.6,316.85,321.1,321.1,319.75,2368,92384,30580451,,INE055A01016,15-Apr-20,,
500041,BANNARI AMAN,B ,Q,906,906,864.05,867.5,864.05,864,22,69,61135,,INE459A01010,15-Apr-20,,
500042,BASF INDIA  ,A ,Q,1186.25,1234,1120,1125.15,1128,1168.75,1076,3609,4200426,,INE373A01013,15-Apr-20,,
500043,BATA INDIA  ,A ,Q,1200,1244,1189.8,1204.15,1205,1191.8,2702,32524,39608750,,INE176A01028,15-Apr-20,,
500048,BEML LTD    ,A ,Q,740,754.95,583.55,602.3,602.3,664.9,13449,278838,188361864,,INE258A01016,15-Apr-20,,
500049,BHARAT ELECT,A ,Q,73.2,73.2,68.85,69.7,69.7,70.55,3049,854429,60277863,,INE263A01024,15-Apr-20,,
500052,BHANSALI ENG,B ,Q,35,35,32.35,33.55,33.45,32.85,386,19026,642728,,INE922A01025,15-Apr-20,,
500055,TATASTLBSL  ,B ,Q,18.25,18.4,17.55,17.7,17.75,17.7,319,98630,1778393,,INE824B01021,15-Apr-20,,
500058,BIHAR SPONGE,XT,Q,0.36,0.36,0.36,0.36,0.36,0.36,5,611,219,,INE819C01011,15-Apr-20,,
500060,BIRLACABLE  ,B ,Q,35.55,36.1,34.95,35.6,36.1,34.4,117,2071,73406,,INE800A01015,15-Apr-20,,
500067,BLUE STAR   ,A ,Q,490.65,504.95,474.35,477.6,476.6,480.75,825,3654,1796698,,INE472A01039,15-Apr-20,,
500068,DISA INDIA  ,X ,Q,3515.05,3688.95,3455,3476.5,3498,3590.15,90,206,724014,,INE131C01011,15-Apr-20,,
500069,BNK CAPITAL ,X ,Q,51.9,51.9,50.4,50.4,50.4,49.75,5,602,30354,,INE418C01012,15-Apr-20,,
500074,BPL LTD.    ,T ,Q,16.24,16.24,16.24,16.24,16.24,15.47,54,12445,202106,,INE110A01019,15-Apr-20,,
500078,OAL         ,B ,Q,169,174.95,160.2,160.2,160.2,156.5,19,193,32737,,INE959C01023,15-Apr-20,,
500083,CENTURY EXT ,B ,Q,2.1,2.26,2.06,2.16,2.16,2.1,38,9590,20534,,INE281A01026,15-Apr-20,,
500084,CESC LTD.   ,A ,Q,510,526.5,500.5,504.5,504.5,503.95,1004,14156,7315465,,INE486A01013,15-Apr-20,,
500085,CHAMBAL FERT,A ,Q,124,137.7,122.2,129.3,130.1,119.7,5842,177552,23333190,,INE085A01013,15-Apr-20,,
500086,EXIDE IND.  ,A ,Q,146.95,146.95,139.2,140.5,140.5,143,2064,76890,11019109,,INE302A01020,15-Apr-20,,
500087,CIPLA LTD.  ,A ,Q,608,614.05,579.05,592.55,592.55,592.7,17855,660353,396944992,,INE059A01026,15-Apr-20,,
500092,CRISIL LTD  ,A ,Q,1440.85,1470,1360.75,1396.5,1414,1440.85,774,5101,7306699,,INE007A01025,15-Apr-20,,
500093,CGPOWER     ,B ,Q,8.07,8.22,8.07,8.22,8.22,7.48,238,187627,1541017,,INE067A01029,15-Apr-20,,
500096,DABUR (I)   ,A ,Q,479.75,505.7,479.75,502.9,502.9,479.75,3534,134158,66680566,,INE016A01026,15-Apr-20,,
500097,DALMIASUG   ,B ,Q,64.45,64.7,63.5,64.7,64.7,61.65,309,36405,2352520,,INE495A01022,15-Apr-20,,
500101,ARVIND Ltd  ,A ,Q,28.95,28.95,26,26.3,26.25,27.7,903,219150,5878437,,INE034A01011,15-Apr-20,,
500102,BALARPUR IND,B ,Q,0.35,0.35,0.34,0.35,0.35,0.35,46,280957,96274,,INE294A01037,15-Apr-20,,
500103,BHEL        ,A ,Q,22.9,23.15,21.1,21.45,21.45,22.05,6979,2205649,48980830,,INE257A01026,15-Apr-20,,
500104,HIND.PETRO  ,A ,Q,205.95,220.05,205.6,209.05,209.05,205.85,4938,353042,75465873,,INE094A01015,15-Apr-20,,
