SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1480,1503.15,1470.05,1481.3,1483,1490.55,491,24894,36882619,,INE117A01022,06-May-19,,
500003,AEGIS LOGIS ,A ,Q,194.75,196.35,193.3,196.05,196.3,195.1,52,4910,954273,,INE208C01025,06-May-19,,
500008,AMAR RAJA BA,A ,Q,655.1,657,641.95,644.7,644.7,657.75,920,30491,19695727,,INE885A01032,06-May-19,,
500009,A.SARABHAI  ,X ,Q,14.1,14.75,14.1,14.2,14.2,14.71,72,28691,409490,,INE432A01017,06-May-19,,
500010,HDFC        ,A ,Q,1990,1990,1959.25,1967.25,1967.25,2010,1843,40921,80465196,,INE001A01036,06-May-19,,
500012,ANDHRA PETRO,X ,Q,53.1,54.4,53.1,53.95,53.55,53.45,110,19057,1027111,,INE714B01016,06-May-19,,
500013,ANSAL INFRAS,B ,Q,9.75,9.95,9.52,9.9,9.95,9.93,37,7290,70861,,INE436A01026,06-May-19,,
500014,APPLE FINANC,XT,Q,1.4,1.54,1.4,1.54,1.54,1.47,24,4727,6773,,INE096A01010,06-May-19,,
500016,ARUNAHTEL   ,XT,Q,7.48,7.48,7.48,7.48,7.48,7.48,1,1,7,,INE957C01019,06-May-19,,
500020,BOM DYEING  ,A ,Q,127,132.5,125.4,129.75,129.75,126.5,5007,390216,50788963,,INE032A01023,06-May-19,,
500024,ASSAMCO     ,T ,Q,1.93,2,1.92,1.93,1.98,1.96,33,20370,39619,,INE442A01024,06-May-19,,
500027,ATUL LTD.   ,A ,Q,3435,3527.9,3435,3506.85,3517,3434.4,136,409,1431782,,INE100A01010,06-May-19,,
500028,ATV PROJECTS,XT,Q,5.28,5.79,5.28,5.35,5.35,5.55,12,1924,10701,,INE447A01015,06-May-19,,
500029,AUTOLITE(I) ,B ,Q,31.35,35.9,31.35,34.25,34.25,34.2,8,815,28464,,INE448A01013,06-May-19,,
500031,BAJAJ ELECT.,A ,Q,557,567,545.15,554.65,556,559.45,213,4137,2285175,,INE193E01025,06-May-19,,
500032,BAJAJHIND   ,B ,Q,8.08,8.1,7.9,7.97,7.97,8.19,330,355708,2847593,,INE306A01021,06-May-19,,
500033,FORCE MOTR  ,A ,Q,1596,1599.95,1550,1558.5,1558.5,1600.65,945,7996,12581491,,INE451A01017,06-May-19,,
500034,BAJFINANCE  ,A ,Q,3079,3093,3027.7,3036.8,3036.8,3109.25,2592,42729,130987428,,INE296A01024,06-May-19,,
500038,BALRAM.CHINI,A ,Q,155,156.1,152.2,154.05,156,156.35,775,77080,11896782,,INE119A01028,06-May-19,,
500039,BANCO PROD. ,B ,Q,149.5,149.85,148.5,148.7,148.5,148.1,48,3367,502520,,INE213C01025,06-May-19,,
500040,CENTURY TEXT,A ,Q,930.1,934.5,908.45,913.95,910,941.4,1340,43321,39777122,,INE055A01016,06-May-19,,
500041,BANNARI AMAN,B ,Q,1448,1448,1388.8,1416.3,1436,1455.9,27,235,331672,,INE459A01010,06-May-19,,
500042,BASF INDIA  ,A ,Q,1353,1353,1312,1319.35,1312,1352.95,124,694,921284,,INE373A01013,06-May-19,,
500043,BATA INDIA  ,A ,Q,1429.8,1439.45,1367.45,1373.25,1373.25,1441.25,2577,71270,99200282,,INE176A01028,06-May-19,,
500048,BEML LTD    ,A ,Q,865,873.35,850.7,853.15,853.5,874.5,710,25033,21586913,,INE258A01016,06-May-19,,
500049,BHARAT ELECT,A ,Q,87.9,88.45,87.2,88.1,88.1,88.35,760,210518,18535045,,INE263A01024,06-May-19,,
500052,BHANSALI ENG,B ,Q,76.8,85.1,74.05,84.5,84.5,77.25,3206,481442,39572512,,INE922A01025,06-May-19,,
500055,TATASTLBSL  ,B ,Q,34.6,34.65,33.6,33.8,33.8,34.8,552,175206,5964189,,INE824B01021,06-May-19,,
500058,BIHAR SPONGE,XT,Q,0.91,0.95,0.91,0.91,0.91,0.95,7,1511,1379,,INE819C01011,06-May-19,,
500059,BINANI IND. ,T ,Q,31.5,32.65,30.5,31,31,31.45,33,4617,145280,,INE071A01013,06-May-19,,
