Date,Company Name,NSE_Code,BSE_Code,Total_Volume,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Volume,NSE_Delivery,BSE_Volume,BSE_Delivery,Segment
190124,AIA Engineering Ltd.,AIAENG,532683,76798,67039,1627.55,1639.4,1091.0932445,76062.0,66764.0,736.0,275.0,EQ
190124,UNO Minda Ltd.,UNOMINDA,532539,395603,364045,298.65,295.25,1087.2203925,0.0,0.0,395603.0,364045.0,A 
190124,Deepak Fertilisers And Petroch,DEEPAKFERT,500645,2015129,1020381,106.1,112.55,1082.624241,1819269.0,957513.0,195860.0,62868.0,EQ
190124,,TATAGLOBAL,,1059068,506202,210.8,210.6,1067.073816,1059068.0,506202.0,0.0,0.0,EQ
190124,Indiabulls Real Estate Ltd.,IBREALEST,532832,2875230,1259762,84.05,83.35,1058.829961,2307843.0,1157653.0,567387.0,102109.0,EQ
190124,Yes Bank Ltd.,YESBANK,532648,139407408,31415963,215.4,197.25,67669.984302,127603904.0,28175530.0,11803504.0,3240433.0,EQ
190124,Reliance Communications Ltd.,RCOM,532712,74346535,8847521,12.85,12.95,1136.9064485,62852835.0,8098766.0,11493700.0,748755.0,EQ
190124,Dish TV India Ltd.,DISHTV,532839,12102288,7164328,33.55,33.65,2403.632044,11807720.0,7107457.0,294568.0,56871.0,EQ
190124,Balaji Telefilms Ltd.,BALAJITELE,532382,6915301,6774907,91.15,88.8,6175.327730500001,152065.0,37303.0,6763236.0,6737604.0,EQ
190124,Adani Power Ltd.,ADANIPOWER,533096,11478397,4362725,52.1,51.75,2272.979725,9678975.0,3430888.0,1799422.0,931837.0,EQ
190124,Vakrangee Ltd.,VAKRANGEE,511431,10226845,4358381,44.7,47.05,1948.1963070000002,8644809.0,3813098.0,1582036.0,545283.0,EQ
190124,,KPIT,,35704029,4283675,128.95,216.65,5523.7989125,35704029.0,4283675.0,0.0,0.0,EQ
190124,E.I.D. - Parry (India) Ltd.,EIDPARRY,500125,3563644,3469455,202.75,203.35,7034.3200125,175317.0,95047.0,3388327.0,3374408.0,EQ
190124,,INFRATEL,,11122963,2634439,263.0,277.0,6928.57457,11122963.0,2634439.0,0.0,0.0,EQ
190124,Infibeam Avenues Ltd.,INFIBEAM,539807,13033431,2521022,45.35,43.2,1143.283477,11707332.0,2307707.0,1326099.0,213315.0,EQ
190124,Thirumalai Chemicals Ltd.,TIRUMALCHM,500412,7026916,2397190,81.0,101.2,1941.7239,6018018.0,2051105.0,1008898.0,346085.0,EQ
190124,Jain Irrigation Systems Ltd.,JISLJALEQS,500219,8585642,2156684,60.6,60.85,1306.9505040000001,6885259.0,1628608.0,1700383.0,528076.0,EQ
190124,,MOTHERSUMI,,5785444,1894772,154.05,157.55,2918.896266,5785444.0,1894772.0,0.0,0.0,EQ
190124,,HDFC,,2194496,1284755,1971.1,1958.25,25323.805805,2194496.0,1284755.0,0.0,0.0,EQ
190124,Indiabulls Real Estate Ltd.,IBREALEST,532832,2875230,1259762,84.05,83.35,1058.829961,2307843.0,1157653.0,567387.0,102109.0,EQ
190124,Reliance Infrastructure Ltd.,RELINFRA,500390,3950456,1057492,282.15,281.75,2983.7136779999996,3634634.0,1015731.0,315822.0,41761.0,EQ
190124,Deepak Fertilisers And Petroch,DEEPAKFERT,500645,2015129,1020381,106.1,112.55,1082.624241,1819269.0,957513.0,195860.0,62868.0,EQ
190124,Edelweiss Financial Services L,EDELWEISS,532922,2690955,1013332,151.75,160.55,1537.73131,2478727.0,942496.0,212228.0,70836.0,EQ
190124,,EQUITAS,,3666921,916630,120.75,119.0,1106.830725,3666921.0,916630.0,0.0,0.0,EQ
190124,,DHFL,,4803404,899190,207.65,209.6,1867.168035,4803404.0,899190.0,0.0,0.0,EQ
190124,Graphite India Ltd.,GRAPHITE,509488,2758562,845774,623.4,671.95,5272.5551159999995,2400623.0,750640.0,357939.0,95134.0,EQ
190124,Tejas Networks Ltd.,TEJASNET,540595,1558300,839599,183.5,213.05,1540.664165,1196975.0,597222.0,361325.0,242377.0,EQ
190124,,STRTECH,,2901291,821216,290.65,292.75,2386.8643039999997,2901291.0,821216.0,0.0,0.0,EQ
190124,Reliance Capital Ltd.,RELCAPITAL,500111,7102551,735923,212.55,208.9,1564.2043365,6031067.0,688686.0,1071484.0,47237.0,EQ
190124,Future Retail Ltd.,FRETAIL,540064,900223,725190,441.15,441.05,3199.175685,714548.0,561564.0,185675.0,163626.0,EQ
190124,Jet Airways (India) Ltd.,JETAIRWAYS,532617,13913966,701111,265.85,265.5,1863.9035935000002,12514642.0,634358.0,1399324.0,66753.0,EQ
190124,Ujjivan Financial Services Ltd,UJJIVAN,539874,12869160,656171,294.95,284.3,1935.3763645,11961606.0,606388.0,907554.0,49783.0,EQ
190124,,,533228,604700,563890,944.1,949.1,5323.68549,0.0,0.0,604700.0,563890.0,A 
190124,,TATAGLOBAL,,1059068,506202,210.8,210.6,1067.073816,1059068.0,506202.0,0.0,0.0,EQ
190124,Shankara Building Products Ltd,SHANKARA,540425,549109,494960,447.55,470.85,2215.19348,538515.0,491795.0,10594.0,3165.0,EQ
190124,Care Ratings Ltd.,CARERATING,534804,505275,486284,1007.55,985.15,4899.554442,504114.0,486051.0,1161.0,233.0,EQ
190124,Torrent Power Ltd.,TORNTPOWER,532779,932815,462954,258.5,262.75,1196.73609,902166.0,455477.0,30649.0,7477.0,EQ
190124,,HEXAWARE,,1147157,460441,326.35,333.1,1502.6492035000003,1147157.0,460441.0,0.0,0.0,EQ
190124,UNO Minda Ltd.,UNOMINDA,532539,395603,364045,298.65,295.25,1087.2203925,0.0,0.0,395603.0,364045.0,A 
190124,,LIQUIDBEES,,544761,354282,1000.0,999.99,3542.82,544761.0,354282.0,0.0,0.0,EQ
190124,Radico Khaitan Ltd.,RADICO,532497,911226,343322,427.95,421.5,1469.246499,827349.0,322370.0,83877.0,20952.0,EQ
190124,Kajaria Ceramics Ltd.,KAJARIACER,500233,760839,328980,537.15,548.55,1767.11607,740561.0,325146.0,20278.0,3834.0,EQ
190124,Tata Elxsi Ltd.,TATAELXSI,500408,1459511,260040,933.3,966.8,2426.95332,1357593.0,236960.0,101918.0,23080.0,EQ
190124,,PVR,,1643831,233610,1600.4,1607.2,3738.69444,1643831.0,233610.0,0.0,0.0,EQ
190124,CESC Ltd.,CESC,500084,479834,227812,685.45,679.1,1561.537354,465373.0,223743.0,14461.0,4069.0,EQ
190124,Linde India Ltd.,LINDEINDIA,523457,1674394,215705,710.8,653.6,1533.23114,1500325.0,198477.0,174069.0,17228.0,EQ
190124,,MINDTREE,,2027003,214216,910.4,906.55,1950.2224640000002,2027003.0,214216.0,0.0,0.0,EQ
190124,,SRTRANSFIN,,816136,209803,1114.55,1088.05,2338.3593364999997,816136.0,209803.0,0.0,0.0,EQ
190124,HEG Ltd.,HEG,509631,611054,191171,3006.1,3275.45,5746.791431000001,534867.0,168429.0,76187.0,22742.0,EQ
190124,Strides Pharma Science Ltd.,STAR,532531,2038585,188750,530.85,531.5,1001.979375,1859191.0,167103.0,179394.0,21647.0,EQ
190124,,,590096,170292,138949,1000.01,1000.01,1389.5038949000002,0.0,0.0,170292.0,138949.0,F 
190124,,NIITTECH,,1103506,119349,1300.7,1274.95,1552.3724430000002,1103506.0,119349.0,0.0,0.0,EQ
190124,Avenue Supermarts Ltd.,DMART,540376,369935,115611,1391.55,1397.3,1608.7848705,338685.0,107328.0,31250.0,8283.0,EQ
190124,PNB Housing Finance Ltd.,PNBHOUSING,540173,423256,109593,925.25,901.9,1014.0092325,381131.0,99549.0,42125.0,10044.0,EQ
190124,Bajaj Holdings & Investment Lt,BAJAJHLDNG,500490,95114,89094,2939.8,2966.65,2619.1854120000003,39805.0,34291.0,55309.0,54803.0,EQ
